Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Alexander Kamp	Uno-X Mobility	Denmark	186 cm	74 kg	32 jaar	60	41	20	69	28	32	26	39	70	24
Merhawi Kudus	Burgos Burpellet BH	Eritrea	173 cm	58 kg	32 jaar	60	41	20	63	52	42	41	42	64	20
Cyril Barthe	Groupama-FDJ United	France	184 cm	70 kg	30 jaar	60	51	46	50	33	65	27	35	65	27
Maxime Decomble	Groupama-FDJ United	France	174 cm	62 kg	20 jaar	60	57	30	44	35	33	64	41	60	55
Taco van der Hoorn	Lotto-Intermarché	Netherlands	187 cm	73 kg	32 jaar	60	56	68	40	22	45	20	29	64	20
Ivan Sosa	Equipo Kern Pharma	Colombia	168 cm	52 kg	28 jaar	60	29	20	49	67	26	20	46	56	20
Max Walker	EF Education-EasyPost	Great Britain		0 kg	24 jaar	59	51	45	43	24	40	55	36	54	41
Luca Colnaghi	Bardiani CSF 7 Saber	Italy	171 cm	63 kg	27 jaar	59	47	20	47	32	70	20	32	57	20
Kim Heiduk	INEOS Grenadiers	Germany	184 cm	70 kg	25 jaar	59	46	44	48	32	65	30	41	47	26
Luka Mezgec	Team Jayco-AlUla	Slovenia	183 cm	72 kg	37 jaar	59	50	36	50	25	67	20	39	55	20
Jasha Sütterlin	Team Jayco-AlUla	Germany	184 cm	78 kg	33 jaar	59	47	36	44	34	42	58	38	42	46
Finlay Pickering	Team Jayco-AlUla	Great Britain	174 cm	55 kg	23 jaar	59	31	20	54	62	26	33	53	37	28
Tijmen Graat	Team Visma | Lease a Bike	Netherlands	176 cm	0 kg	23 jaar	59	38	33	64	50	33	23	47	59	20
Lorenzo Quartucci	Burgos Burpellet BH	Italy	170 cm	64 kg	26 jaar	59	47	31	64	43	50	20	45	65	20
Sam Maisonobe	Cofidis	France		0 kg	22 jaar	59	44	45	66	39	40	23	39	65	23
Carl-Frederik Bévort	Uno-X Mobility	Denmark	184 cm	0 kg	22 jaar	59	54	22	40	23	63	57	32	60	58
Niklas Märkl	Team Picnic PostNL	Germany	185 cm	70 kg	26 jaar	59	47	36	43	28	70	27	39	52	27
Rainer Kepplinger	Bahrain Victorious	Austria	179 cm	70 kg	28 jaar	59	42	20	53	52	31	51	50	43	37
Sergio Samitier	Cofidis	Spain	181 cm	63 kg	30 jaar	59	39	20	64	47	36	23	46	67	20
Ludovico Crescioli	Team Polti VisitMalta	Italy		0 kg	22 jaar	59	40	20	63	51	35	20	39	69	20
Jasper De Buyst	Lotto-Intermarché	Belgium	179 cm	72 kg	32 jaar	59	49	52	60	29	53	24	38	69	20
